Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
6/18/2026,6/18/2026,6/18/2026,ICICIBANK,"ICICIBANK
ISIN: INE090A01021",Sell,18,₹2450.54,"₹44,109.72"
6/15/2026,6/15/2026,6/15/2026,ICICIBANK,Cash Div: R/D 2026-01-01 P/D 2026-01-05 - 23 shares at 34.48,CDIV,,,₹793.04
6/15/2026,6/15/2026,6/15/2026,ITC,"ITC
ISIN: INE154A01025",Sell,11,₹867.23,"₹9,539.53"
6/11/2026,6/11/2026,6/11/2026,RELIANCE,"RELIANCE
ISIN: INE002A01018",Sell,321,₹1543.02,"₹495,309.42"
6/5/2026,6/5/2026,6/5/2026,HDFCBANK,Cash Div: R/D 2026-01-01 P/D 2026-01-05 - 92 shares at 17.62,CDIV,,,"₹1,621.04"
6/4/2026,6/4/2026,6/4/2026,ITC,"ITC
ISIN: INE154A01025",Sell,70,₹3984.40,"₹278,908.00"
6/1/2026,6/1/2026,6/1/2026,ICICIBANK,"ICICIBANK
ISIN: INE090A01021",Sell,74,₹3143.80,"₹232,641.20"
5/29/2026,5/29/2026,5/29/2026,HDFCBANK,"HDFCBANK
ISIN: INE040A01034",Buy,37,₹1619.78,"(₹59,931.86)"
5/28/2026,5/28/2026,5/28/2026,RELIANCE,"RELIANCE
ISIN: INE002A01018",Buy,47,₹3242.18,"(₹152,382.46)"
5/27/2026,5/27/2026,5/27/2026,TCS,Cash Div: R/D 2026-01-01 P/D 2026-01-05 - 425 shares at 48.64,CDIV,,,"₹20,672.00"
5/27/2026,5/27/2026,5/27/2026,RELIANCE,"RELIANCE
ISIN: INE002A01018",Sell,88,₹1275.09,"₹112,207.92"
5/22/2026,5/22/2026,5/22/2026,RELIANCE,"RELIANCE
ISIN: INE002A01018",Buy,93,₹956.71,"(₹88,974.03)"
5/18/2026,5/18/2026,5/18/2026,SBIN,"SBIN
ISIN: INE062A01020",Sell,114,₹660.85,"₹75,336.90"
5/15/2026,5/15/2026,5/15/2026,ITC,"ITC
ISIN: INE154A01025",Buy,41,₹1531.72,"(₹62,800.52)"
